n01440764; tench; cyprinid
n07749582; lemon; citrus
n07753113; fig; edible fruit
n07753275; pineapple; edible fruit
n07753592; banana; edible fruit
n07754684; jackfruit; edible fruit
n07760859; custard apple; edible fruit
n07768694; pomegranate; edible fruit
n07802026; hay; fodder
n07831146; carbonara; spaghetti sauce
n07836838; chocolate sauce; sauce
n07860988; dough; concoction
n07871810; meat loaf; loaf of bread
n07873807; pizza; dish
n07875152; potpie; dish
n07880968; burrito; dish
n07892512; red wine; wine
n07920052; espresso; coffee
n07930864; cup; punch
n07932039; eggnog; punch
n09193705; alp; mountain
n09229709; bubble; globule
n09246464; cliff; geological formation
n09256479; coral reef; reef
n09288635; geyser; spring
n09332890; lakeside; shore
n09399592; promontory; natural elevation
n09421951; sandbar; bar
n09428293; seashore; shore
n09468604; valley; natural depression
n09472597; volcano; mountain
n09835506; ballplayer; athlete
n10148035; groom; participant
n10565667; scuba diver; diver
n11879895; rapeseed; oilseed
n11939491; daisy; flower
n12057211; yellow lady's slipper; lady's slipper
n12144580; corn; kernel
n12267677; acorn; fruit
n12620546; hip; fruit
n12768682; buckeye; seed
n12985857; coral fungus; fungus
n12998815; agaric; basidiomycete
n13037406; gyromitra; fungus
n13040303; stinkhorn; fungus
n13044778; earthstar; fungus
n13052670; hen-of-the-woods; fungus
n13054560; bolete; fungus
n13133613; ear; fruit
n15075141; toilet tissue; tissue
